Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),Absorption_AOD[440nm],Absorption_AOD[675nm],Absorption_AOD[870nm],Absorption_AOD[1020nm],Absorption_Angstrom_Exponent_440-870nm,Average_Solar_Zenith_Angles_for_Flux_Calculation(Degrees),Solar_Zenith_Angle_for_Measurement_Start(Degrees),Sky_Residual(%),Sun_Residual(%),Coincident_AOD440nm,Scattering_Angle_Bin_3.2_to_<6_degrees[440nm],Scattering_Angle_Bin_6_to_<30_degrees[440nm],Scattering_Angle_Bin_30_to_<80_degrees[440nm],Scattering_Angle_Bin_80_degrees_and_over[440nm],Scattering_Angle_Bin_3.2_to_<6_degrees[675nm],Scattering_Angle_Bin_6_to_<30_degrees[675nm],Scattering_Angle_Bin_30_to_<80_degrees[675nm],Scattering_Angle_Bin_80_degrees_and_over[675nm],Scattering_Angle_Bin_3.2_to_<6_degrees[870nm],Scattering_Angle_Bin_6_to_<30_degrees[870nm],Scattering_Angle_Bin_30_to_<80_degrees[870nm],Scattering_Angle_Bin_80_degrees_and_over[870nm],Scattering_Angle_Bin_3.2_to_<6_degrees[1020nm],Scattering_Angle_Bin_6_to_<30_degrees[1020nm],Scattering_Angle_Bin_30_to_<80_degrees[1020nm],Scattering_Angle_Bin_80_degrees_and_over[1020nm],Surface_Albedo[440m],Surface_Albedo[675m],Surface_Albedo[870m],Surface_Albedo[1020m],If_Retrieval_is_L2(without_L2_0.4_AOD_440_threshold),If_AOD_is_L2,Last_Processing_Date(dd:mm:yyyy),Last_Processing_Time(hh:mm:ss),Instrument_Number,Latitude(Degrees),Longitude(Degrees),Elevation(m),Inversion_Data_Quality_Level,Retrieval_Measurement_Scan_Type
IIT_Delhi,01:04:2021,01:55:09,91,91.079965,-999.0,-999.0,-999.0,-999.0,-999.0,73.936420,74.592313,2.711773,0.118282,0.205580,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080310,0.152120,0.294820,0.292630,1,1,30:06:2022,22:29:35,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,02:29:19,91,91.103692,-999.0,-999.0,-999.0,-999.0,-999.0,66.483868,67.136139,1.716754,0.131433,0.208548,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.071900,0.136100,0.266600,0.266130,1,1,30:06:2022,22:36:07,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:07:28,91,91.421852,0.054311,0.017332,0.019762,0.018539,1.611808,52.007712,51.382179,3.705958,0.331429,0.419625,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062640,0.118080,0.234180,0.234600,1,1,30:06:2022,22:23:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:29:48,91,91.437361,0.060357,0.024549,0.027198,0.025950,1.270646,56.716261,56.079023,4.058046,0.354793,0.445318,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,3,0.065170,0.122760,0.242190,0.241670,1,1,30:06:2022,22:27:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,10:59:31,91,91.457998,0.060100,0.022361,0.023530,0.025805,1.477484,63.089285,62.441662,4.305382,0.276718,0.443055,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069590,0.130950,0.256230,0.254110,1,1,30:06:2022,22:35:45,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,11:47:05,91,91.491030,0.074763,0.035127,0.032919,0.030660,1.265222,73.433976,72.778876,4.995134,0.120703,0.535918,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080620,0.151380,0.291210,0.285120,1,1,30:06:2022,22:44:54,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,01:04:2021,12:05:35,91,91.503877,0.072488,0.036184,0.033732,0.029544,1.177536,77.474102,76.819209,4.611778,0.060045,0.548705,4,9,7,5,4,9,7,6,4,10,7,6,4,10,7,6,0.087040,0.163240,0.311480,0.303050,1,1,30:06:2022,22:48:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,01:54:11,92,92.079294,-999.0,-999.0,-999.0,-999.0,-999.0,73.900859,74.557030,1.966071,0.099946,0.307889,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080270,0.152030,0.294660,0.292480,1,1,30:06:2022,22:16:22,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,03:15:12,92,92.135556,-999.0,-999.0,-999.0,-999.0,-999.0,56.341463,56.981118,2.341500,0.246848,0.338232,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064540,0.122110,0.242020,0.243210,1,1,30:06:2022,22:27:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,03:44:07,92,92.155637,-999.0,-999.0,-999.0,-999.0,-999.0,50.250994,50.875551,2.492475,0.247269,0.370364,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.061530,0.116400,0.231990,0.233920,1,1,30:06:2022,22:29:53,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:07:08,92,92.421620,-999.0,-999.0,-999.0,-999.0,-999.0,51.791408,51.164438,3.266431,0.208456,0.254096,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062540,0.117880,0.233840,0.234310,1,1,30:06:2022,22:15:36,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:30:30,92,92.437847,-999.0,-999.0,-999.0,-999.0,-999.0,56.729397,56.090614,2.349776,0.240676,0.290854,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065170,0.122760,0.242210,0.241690,1,1,30:06:2022,22:21:17,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,10:59:11,92,92.457766,-999.0,-999.0,-999.0,-999.0,-999.0,62.891169,62.242804,2.860215,0.200992,0.287462,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069430,0.130650,0.255730,0.253660,1,1,30:06:2022,22:26:44,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,11:49:09,92,92.492465,-999.0,-999.0,-999.0,-999.0,-999.0,73.768029,73.112557,3.038415,0.129643,0.255577,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081080,0.152240,0.292700,0.286450,1,1,30:06:2022,22:33:47,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,02:04:2021,12:07:29,92,92.505197,-999.0,-999.0,-999.0,-999.0,-999.0,77.772701,77.117813,3.174948,0.073408,0.257518,4,8,7,5,4,8,7,5,4,9,7,6,4,10,7,6,0.087550,0.164200,0.313170,0.304560,1,1,30:06:2022,22:36:12,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,01:53:53,93,93.079086,-999.0,-999.0,-999.0,-999.0,-999.0,73.721272,74.377684,3.150629,0.157693,0.256203,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080020,0.151560,0.293830,0.291700,1,1,30:06:2022,22:31:00,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,02:25:30,93,93.101042,-999.0,-999.0,-999.0,-999.0,-999.0,66.814194,67.468059,2.678775,0.226233,0.268169,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072210,0.136680,0.267610,0.267090,1,1,30:06:2022,22:37:15,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,03:14:01,93,93.134734,-999.0,-999.0,-999.0,-999.0,-999.0,56.333484,56.974562,2.469329,0.332549,0.286950,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064540,0.122110,0.242010,0.243200,1,1,30:06:2022,22:42:11,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,03:43:49,93,93.155428,-999.0,-999.0,-999.0,-999.0,-999.0,50.041896,50.667964,2.990497,0.339960,0.317982,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.061430,0.116230,0.231700,0.233650,1,1,30:06:2022,22:46:52,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:06:48,93,93.421389,-999.0,-999.0,-999.0,-999.0,-999.0,51.576837,50.948460,3.057404,0.504742,0.393545,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062430,0.117690,0.233520,0.234020,1,1,30:06:2022,22:35:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:31:13,93,93.438345,0.051229,0.021552,0.019908,0.018536,1.456763,56.748469,56.108200,1.900950,0.160026,0.403748,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065190,0.122790,0.242240,0.241720,1,1,30:06:2022,22:43:00,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,10:59:31,93,93.457998,-999.0,-999.0,-999.0,-999.0,-999.0,62.838616,62.189374,2.722508,0.172833,0.378705,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.069400,0.130580,0.255590,0.253540,1,1,30:06:2022,22:16:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,11:48:54,93,93.492292,-999.0,-999.0,-999.0,-999.0,-999.0,73.596911,72.941182,3.449840,0.114769,0.315771,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080830,0.151780,0.291920,0.285760,1,1,30:06:2022,22:22:31,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,03:04:2021,12:07:19,93,93.505081,-999.0,-999.0,-999.0,-999.0,-999.0,77.620923,76.965897,3.144182,0.051243,0.316481,4,8,7,6,4,8,7,6,4,9,7,6,4,10,7,6,0.087280,0.163710,0.312290,0.303790,1,1,30:06:2022,22:25:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,01:53:33,94,94.078854,-999.0,-999.0,-999.0,-999.0,-999.0,73.550822,74.207446,1.744639,0.066993,0.320769,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.079770,0.151090,0.293020,0.290970,1,1,30:06:2022,22:26:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,02:24:22,94,94.100255,-999.0,-999.0,-999.0,-999.0,-999.0,66.814509,67.468965,1.760497,0.122385,0.302736,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072210,0.136680,0.267620,0.267090,1,1,30:06:2022,22:33:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,03:13:25,94,94.134317,-999.0,-999.0,-999.0,-999.0,-999.0,56.204041,56.846263,1.713262,0.156048,0.328155,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064460,0.121970,0.241760,0.242980,1,1,30:06:2022,22:38:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,04:04:2021,10:06:32,94,94.421204,-999.0,-999.0,-999.0,-999.0,-999.0,51.377998,50.748206,5.126800,0.263166,0.344731,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.062340,0.117520,0.233230,0.233760,1,1,30:06:2022,22:18:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,02:23:08,95,95.099398,0.068850,0.025930,0.022592,0.021512,1.706474,66.839179,67.494190,2.752728,0.149831,0.558497,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.072230,0.136720,0.267690,0.267170,1,1,30:06:2022,22:23:14,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,03:13:13,95,95.134178,0.058108,0.018835,0.017957,0.017504,1.822550,55.991827,56.635008,2.616386,0.266104,0.540914,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.064340,0.121740,0.241360,0.242610,1,1,30:06:2022,22:33:42,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,05:04:2021,03:39:53,95,95.152697,0.057628,0.023956,0.021872,0.021330,1.490758,50.331471,50.962397,2.668162,0.250636,0.570943,3,10,8,4,3,10,8,4,3,10,8,4,3,10,7,4,0.061560,0.116470,0.232120,0.234040,1,1,30:06:2022,22:39:51,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,10:33:14,96,96.439745,0.210530,0.115880,0.094821,0.077197,1.196178,56.790697,56.146403,2.376864,0.065372,1.546514,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.065220,0.122840,0.242330,0.241780,1,1,30:06:2022,22:43:23,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,11:49:47,96,96.492905,0.207610,0.102600,0.084154,0.073165,1.361374,73.445366,72.789045,2.531900,0.026677,1.407386,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.080660,0.151420,0.291290,0.285160,1,1,30:06:2022,22:56:19,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,06:04:2021,12:08:20,96,96.505787,0.205030,0.096911,0.079699,0.067330,1.427463,77.500218,76.845139,4.078588,0.037450,1.375559,4,9,7,6,4,8,7,6,4,9,7,6,4,9,7,6,0.087100,0.163340,0.311670,0.303180,1,1,30:06:2022,23:01:29,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,01:48:24,97,97.075278,0.147560,0.049253,0.034977,0.024473,2.163704,73.960632,74.617571,4.776147,0.101413,1.183497,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082200,0.151670,0.294610,0.291980,1,1,30:06:2022,22:38:43,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,03:09:22,97,97.131505,0.129000,0.057466,0.049658,0.042446,1.454993,56.317635,56.963797,2.485530,0.162641,1.073304,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066550,0.123950,0.244070,0.244860,1,1,30:06:2022,22:58:34,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,11:02:42,97,97.460208,0.080602,0.039141,0.032561,0.024668,1.370188,63.045763,62.393130,3.112160,0.150468,0.712922,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071540,0.132060,0.257580,0.255140,1,1,30:06:2022,22:37:06,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,11:50:14,97,97.493218,0.061837,0.021570,0.018916,0.014100,1.817686,73.430395,72.773953,3.484462,0.095240,0.520651,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082500,0.150950,0.291080,0.284720,1,1,30:06:2022,22:45:13,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,07:04:2021,12:08:38,97,97.505995,0.054958,0.020642,0.018846,0.014821,1.649256,77.452569,76.797537,3.637240,0.062935,0.498671,4,8,7,6,4,9,7,6,4,8,7,6,4,9,7,6,0.088810,0.161820,0.310340,0.301680,1,1,30:06:2022,22:48:48,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,01:47:25,98,98.074595,-999.0,-999.0,-999.0,-999.0,-999.0,73.941187,74.598165,2.710248,0.099859,0.387644,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082190,0.151640,0.294550,0.291900,1,1,30:06:2022,22:41:42,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,02:19:52,98,98.097130,0.060820,0.027340,0.026044,0.023422,1.312801,66.834558,67.490908,2.556271,0.160342,0.469277,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074190,0.137440,0.268620,0.267650,1,1,30:06:2022,22:21:09,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,03:08:07,98,98.130637,0.049258,0.018416,0.017433,0.014639,1.608936,56.341375,56.988691,2.227490,0.214083,0.495932,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066570,0.123970,0.244110,0.244900,1,1,30:06:2022,22:28:25,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,03:37:19,98,98.150914,0.055063,0.026959,0.026788,0.025224,1.123947,50.098227,50.733998,2.336956,0.273812,0.534711,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063510,0.118600,0.234340,0.235890,1,1,30:06:2022,22:31:13,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,10:34:27,98,98.440590,-999.0,-999.0,-999.0,-999.0,-999.0,56.801809,56.155184,3.374413,0.314887,0.393703,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.067240,0.124650,0.244430,0.243540,1,1,30:06:2022,22:22:57,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,11:02:28,98,98.460046,-999.0,-999.0,-999.0,-999.0,-999.0,62.877345,62.224179,2.827779,0.170913,0.355452,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071420,0.131840,0.257180,0.254770,1,1,30:06:2022,22:28:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,11:52:23,98,98.494711,-999.0,-999.0,-999.0,-999.0,-999.0,73.788096,73.131639,3.476858,0.100001,0.311024,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082990,0.151800,0.292590,0.286060,1,1,30:06:2022,22:35:06,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,08:04:2021,12:10:42,98,98.507431,-999.0,-999.0,-999.0,-999.0,-999.0,77.790872,77.136192,4.151559,0.066765,0.316771,4,8,7,6,4,8,7,6,4,8,7,6,4,10,7,6,0.089410,0.162860,0.312170,0.303310,1,1,30:06:2022,22:37:50,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,01:47:08,99,99.074398,-999.0,-999.0,-999.0,-999.0,-999.0,73.770795,74.427819,2.134867,0.070381,0.284457,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081970,0.151230,0.293800,0.291200,1,1,30:06:2022,22:16:12,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,02:18:45,99,99.096354,-999.0,-999.0,-999.0,-999.0,-999.0,66.844654,67.501364,2.006855,0.119443,0.292641,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074200,0.137460,0.268660,0.267680,1,1,30:06:2022,22:23:56,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,03:06:56,99,99.129815,-999.0,-999.0,-999.0,-999.0,-999.0,56.354459,57.002850,1.936926,0.196306,0.270173,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066570,0.123990,0.244140,0.244920,1,1,30:06:2022,22:29:43,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,09:04:2021,03:37:03,99,99.150729,-999.0,-999.0,-999.0,-999.0,-999.0,49.903322,50.540319,2.282942,0.253797,0.251232,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063430,0.118450,0.234080,0.235650,1,1,30:06:2022,22:35:09,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,01:46:51,100,100.074201,-999.0,-999.0,-999.0,-999.0,-999.0,73.602859,74.259904,2.136934,0.064567,0.324610,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.081750,0.150850,0.293080,0.290510,1,1,30:06:2022,22:36:08,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,02:17:44,100,100.095648,-999.0,-999.0,-999.0,-999.0,-999.0,66.835766,67.492785,2.249552,0.121843,0.332998,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074180,0.137430,0.268620,0.267650,1,1,30:06:2022,22:20:17,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,03:06:42,100,100.129653,-999.0,-999.0,-999.0,-999.0,-999.0,56.165826,56.814976,2.576801,0.267090,0.369895,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066470,0.123800,0.243800,0.244610,1,1,30:06:2022,22:27:02,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,03:33:50,100,100.148495,-999.0,-999.0,-999.0,-999.0,-999.0,50.339457,50.978994,1.947710,0.112358,0.394136,3,10,8,4,3,10,8,3,3,10,8,4,3,10,8,4,0.063610,0.118780,0.234670,0.236190,1,1,30:06:2022,22:34:47,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,10:36:49,100,100.442234,0.052320,0.018449,0.018961,0.014227,1.592316,57.069407,56.420382,2.073657,0.085580,0.505736,4,10,7,5,4,10,7,5,4,10,8,4,4,10,8,4,0.067400,0.124920,0.244910,0.243970,1,1,30:06:2022,22:31:10,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,11:03:34,100,100.460810,0.052721,0.021625,0.020850,0.016873,1.440030,62.885467,62.231101,2.447567,0.112005,0.480562,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071420,0.131840,0.257200,0.254790,1,1,30:06:2022,22:38:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,11:51:52,100,100.494352,0.063622,0.023755,0.021221,0.017019,1.687117,73.451479,72.794919,2.864345,0.073628,0.492308,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082530,0.150990,0.291170,0.284790,1,1,30:06:2022,22:45:38,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,10:04:2021,12:10:21,100,100.507188,0.064551,0.025573,0.024254,0.020350,1.515943,77.490472,76.835915,3.289711,0.054086,0.499457,4,9,7,6,4,8,7,6,4,9,7,6,4,10,7,6,0.088870,0.161910,0.310500,0.301860,1,1,30:06:2022,22:48:41,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,01:44:02,101,101.072245,-999.0,-999.0,-999.0,-999.0,-999.0,73.992333,74.649160,2.368122,0.076901,0.333989,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082270,0.151770,0.294800,0.292110,1,1,30:06:2022,22:21:08,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,02:16:37,101,101.094873,-999.0,-999.0,-999.0,-999.0,-999.0,66.851750,67.509042,2.516840,0.163650,0.341414,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074200,0.137460,0.268670,0.267700,1,1,30:06:2022,22:28:50,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,03:06:26,101,101.129468,-999.0,-999.0,-999.0,-999.0,-999.0,55.987681,56.637571,2.162972,0.243373,0.378197,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066370,0.123630,0.243490,0.244320,1,1,30:06:2022,22:35:38,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,03:32:39,101,101.147674,0.051418,0.022541,0.021405,0.019669,1.356122,50.348412,50.989456,2.201544,0.289224,0.405483,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063620,0.118780,0.234680,0.236210,1,1,30:06:2022,22:40:52,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,10:36:34,101,101.442060,0.069690,0.031248,0.028154,0.022398,1.389939,56.895765,56.246016,1.950358,0.065149,0.647137,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.067300,0.124740,0.244600,0.243690,1,1,30:06:2022,22:41:41,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,11:04:06,101,101.461181,0.073170,0.032777,0.030144,0.025952,1.364469,62.887791,62.232900,2.980795,0.165511,0.644446,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071420,0.131850,0.257200,0.254790,1,1,30:06:2022,22:49:53,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,11:52:19,101,101.494664,0.077544,0.030435,0.026428,0.022256,1.646415,73.439022,72.782494,2.798232,0.070678,0.630974,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082520,0.150970,0.291120,0.284750,1,1,30:06:2022,22:18:13,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,11:04:2021,12:10:44,101,101.507454,0.084425,0.035552,0.030399,0.024210,1.556722,77.462636,76.808278,3.098337,0.039260,0.642679,4,8,7,6,4,8,7,6,4,8,7,6,4,9,7,6,0.088830,0.161860,0.310400,0.301730,1,1,30:06:2022,22:22:49,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,02:16:12,102,102.094583,0.092054,0.038705,0.032315,0.025538,1.590460,66.717388,67.374882,1.875619,0.080129,0.766562,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.074070,0.137230,0.268250,0.267330,1,1,30:06:2022,22:27:26,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,03:03:43,102,102.127581,0.091769,0.040303,0.034090,0.029370,1.505319,56.344192,56.995386,2.303339,0.189349,0.801820,4,10,8,4,4,10,8,4,4,10,8,4,4,10,8,4,0.066560,0.123980,0.244130,0.244910,1,1,30:06:2022,22:32:05,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,03:31:35,102,102.146933,0.089962,0.035381,0.032157,0.030534,1.583289,50.336870,50.979308,2.237065,0.381608,0.814436,3,10,8,4,3,10,8,4,3,10,8,4,3,10,8,4,0.063610,0.118770,0.234670,0.236190,1,1,30:06:2022,22:42:55,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,10:36:50,102,102.442245,0.121330,0.059760,0.051943,0.042837,1.290416,56.835457,56.184892,2.265785,0.078947,0.992932,4,10,7,5,4,10,8,4,4,10,8,4,4,10,8,4,0.067260,0.124680,0.244480,0.243590,1,1,30:06:2022,22:43:57,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,11:06:19,102,102.462720,0.095444,0.044193,0.038913,0.031376,1.369931,63.259181,62.603626,2.010282,0.035285,0.916090,3,10,8,5,3,10,8,5,3,10,8,5,3,10,8,5,0.071720,0.132350,0.258100,0.255590,1,1,30:06:2022,22:55:11,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,11:52:50,102,102.495023,0.097832,0.041020,0.035895,0.029439,1.533097,73.441671,72.785216,2.354788,0.025232,0.875937,4,10,7,6,4,10,7,6,4,10,7,6,4,10,7,6,0.082520,0.150990,0.291140,0.284760,1,1,30:06:2022,23:03:38,1170,28.545000,77.192600,15.000000,lev20,Almucantar
IIT_Delhi,12:04:2021,12:11:19,102,102.507859,0.098959,0.039450,0.032937,0.027388,1.673665,77.478708,76.824617,3.559265,0.036371,0.839915,4,8,7,6,4,9,7,6,4,9,7,6,4,10,7,6,0.088860,0.161910,0.310480,0.301810,1,1,30:06:2022,23:07:36,1170,28.545000,77.192600,15.000000,lev20,Almucantar
